holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund
MU,Micron Technology Inc,B3DXGBC8GAIYWI2Z0172,Micron Technology Inc,595112103,US5951121038,MU,14,NS,USD,16959.32,0.50,Long,EC,CORP,US,N,1,N,N,N
NFLX,Netflix Inc,549300Y7VHGU0I7CE873,Netflix Inc,64110L106,US64110L1061,NFLX,311,NS,USD,22665.68,0.67,Long,EC,CORP,US,N,1,N,N,N
NVDA,NVIDIA Corp,549300S4KLFTLO7GSQ80,NVIDIA Corp,67066G104,US67066G1040,NVDA,1774,NS,USD,370145.1,10.99,Long,EC,CORP,US,N,1,N,N,N
ODFL,Old Dominion Freight Line Inc,5299009TWK32WE417T96,Old Dominion Freight Line Inc,679580100,US6795801009,ODFL,74,NS,USD,16244.48,0.48,Long,EC,CORP,US,N,1,N,N,N
ORCL,Oracle Corp,1Z4GXXU7ZHVWFCD8TV52,Oracle Corp,68389X105,US68389X1054,ORCL,536,NS,USD,93837.52,2.79,Long,EC,CORP,US,N,1,N,N,N
PANW,Palo Alto Networks Inc,549300QXR2YVZV231H43,Palo Alto Networks Inc,697435105,US6974351057,PANW,58,NS,USD,16611.2,0.49,Long,EC,CORP,US,N,1,N,N,N
PCAR,PACCAR Inc,KDTEY8BWE486IKZ3CC07,PACCAR Inc,693718108,US6937181088,PCAR,82,NS,USD,9849.84,0.29,Long,EC,CORP,US,N,1,N,N,N
PLTR,Palantir Technologies Inc,549300UVN46B3BBDHO85,Palantir Technologies Inc,69608A108,US69608A1088,PLTR,487,NS,USD,58196.5,1.73,Long,EC,CORP,US,N,1,N,N,N
PSA,Public Storage,254900GLQZAD4N7N5Q19,Public Storage,74460D109,US74460D1090,PSA,55,NS,USD,17612.1,0.52,Long,EC,CORP,US,N,1,N,N,N
Q,Qnity Electronics Inc,254900RSUG4J9TFFZX53,Qnity Electronics Inc,74743L100,US74743L1008,Q,67,NS,USD,11767.88,0.35,Long,EC,CORP,US,N,1,N,N,N
RCL,Royal Caribbean Cruises Ltd,K2NEH8QNVW44JIWK7Z55,Royal Caribbean Cruises Ltd,N/A,LR0008862868,RCL,70,NS,USD,21655.2,0.64,Long,EC,CORP,US,N,1,N,N,N
REGN,Regeneron Pharmaceuticals Inc,549300RCBFWIRX3HYQ56,Regeneron Pharmaceuticals Inc,75886F107,US75886F1075,REGN,33,NS,USD,20212.5,0.60,Long,EC,CORP,US,N,1,N,N,N
RL,Ralph Lauren Corp,HO1QNWM0IXBZ0QSMMO20,Ralph Lauren Corp,751212101,US7512121010,RL,22,NS,USD,9040.24,0.27,Long,EC,CORP,US,N,1,N,N,N
ROL,Rollins Inc,549300F2A0BXT4SGWD84,Rollins Inc,775711104,US7757111049,ROL,208,NS,USD,9237.28,0.27,Long,EC,CORP,US,N,1,N,N,N
ROST,Ross Stores Inc,549300ENZFLPGRDFZQ60,Ross Stores Inc,778296103,US7782961038,ROST,49,NS,USD,11611.53,0.34,Long,EC,CORP,US,N,1,N,N,N
