holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund
SOFI,SoFi Technologies Inc,549300SW81JCMVZDDY09,SoFi Technologies Inc,83406F102,US83406F1021,SOFI,728,NS,USD,12448.8,0.62,Long,EC,CORP,US,N,1,N,N,N
STX,Seagate Technology Holdings PL,635400RUXIFEZSRU8X70,Seagate Technology Holdings PLC,N/A,IE00BKVD2N49,STX,42,NS,USD,45949.68,2.28,Long,EC,CORP,US,N,1,N,N,N
TWLO,Twilio Inc,5493004W8TRGD63APX93,Twilio Inc,90138F102,US90138F1021,TWLO,84,NS,USD,15425.76,0.76,Long,EC,CORP,US,N,1,N,N,N
UBER,Uber Technologies Inc,549300B2FTG34FILDR98,Uber Technologies Inc,90353T100,US90353T1007,UBER,420,NS,USD,30000.6,1.49,Long,EC,CORP,US,N,1,N,N,N
V,Visa Inc,549300JZ4OKEHW3DPJ59,Visa Inc,92826C839,US92826C8394,V,182,NS,USD,59441.2,2.94,Long,EC,CORP,US,N,1,N,N,N
VEEV,Veeva Systems Inc,549300YZEXPDB92M2F02,Veeva Systems Inc,922475108,US9224751084,VEEV,84,NS,USD,12865.44,0.64,Long,EC,CORP,US,N,1,N,N,N
WDAY,Workday Inc,549300J0DYC0N31V7G13,Workday Inc,98138H101,US98138H1014,WDAY,112,NS,USD,12660.48,0.63,Long,EC,CORP,US,N,1,N,N,N
WDC,Western Digital Corp,549300QQXOOYEF89IC56,Western Digital Corp,958102105,US9581021055,WDC,70,NS,USD,51283.4,2.54,Long,EC,CORP,US,N,1,N,N,N
WFC,Wells Fargo & Co,PBLD0EJDB5FWOLXP3B76,Wells Fargo & Co,949746101,US9497461015,WFC,490,NS,USD,41081.6,2.03,Long,EC,CORP,US,N,1,N,N,N
WSM,Williams-Sonoma Inc,549300IARG6YWVTZ1I92,Williams-Sonoma Inc,969904101,US9699041011,WSM,70,NS,USD,15824.2,0.78,Long,EC,CORP,US,N,1,N,N,N
XYZ,Block Inc,549300OHIIUWSTIZME52,Block Inc,852234103,US8522341036,XYZ,224,NS,USD,16367.68,0.81,Long,EC,CORP,US,N,1,N,N,N
ZM,Zoom Communications Inc,549300T9GCHU0ODOM055,Zoom Communications Inc,98980L101,US98980L1017,ZM,140,NS,USD,11807.6,0.58,Long,EC,CORP,US,N,1,N,N,N
ZS,Zscaler Inc,529900MZ0RTK1BWRNF46,Zscaler Inc,98980G102,US98980G1022,ZS,84,NS,USD,10421.04,0.52,Long,EC,CORP,US,N,1,N,N,N
