check,fund,source_a,value_a,source_b,value_b,diff,flag
flow:mon3Redemption,APPC,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon1Sales,ASMX,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon1Redemption,ASMX,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon2Sales,ASMX,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon2Redemption,ASMX,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon3Sales,ASMX,AP_orders,0.00,TB@20260624,250000.00,-250000.00,REVIEW
flow:mon3Redemption,ASMX,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon1Sales,ASMZ,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon1Redemption,ASMZ,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon2Sales,ASMZ,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon2Redemption,ASMZ,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon3Sales,ASMZ,AP_orders,0.00,TB@20260624,250000.00,-250000.00,REVIEW
flow:mon3Redemption,ASMZ,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon1Sales,ASTT,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon1Redemption,ASTT,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon2Sales,ASTT,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon2Redemption,ASTT,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon3Sales,ASTT,AP_orders,0.00,TB@20260624,250000.00,-250000.00,REVIEW
flow:mon3Redemption,ASTT,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon1Sales,AV,AP_orders,0.00,TB@20260624,125000.00,-125000.00,REVIEW
flow:mon1Redemption,AV,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon2Sales,AV,AP_orders,1299519.00,TB@20260624,1174519.00,125000.00,REVIEW
flow:mon2Redemption,AV,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon3Sales,AV,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon3Redemption,AV,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon1Sales,AVGC,AP_orders,0.00,TB@20260624,0.00,0.00,
flow:mon1Redemption,AVGC,AP_orders,0.00,TB@20260624,0.00,0.00,
